match_id,game_type,horizon_type,path,L_window,reasoning_mode,seed,max_round,player1,player2,round,p_now,p_in_prompt,answer1,answer2,points1,points2,total1,total2
exp3-PD-rw-baseline-seed0-rep0,PD,continuation_dynamic,rw,5,baseline,0,200,act_openai_gpt,act_kimi,1,1.0,1,J,J,8,8,8,8
exp3-PD-rw-baseline-seed0-rep0,PD,continuation_dynamic,rw,5,baseline,0,200,act_openai_gpt,act_kimi,2,1.0,1,J,J,8,8,16,16
exp3-PD-rw-baseline-seed0-rep0,PD,continuation_dynamic,rw,5,baseline,0,200,act_openai_gpt,act_kimi,3,1.0,1,J,J,8,8,24,24
exp3-PD-rw-baseline-seed0-rep0,PD,continuation_dynamic,rw,5,baseline,0,200,act_openai_gpt,act_kimi,4,1.0,1,J,J,8,8,32,32
exp3-PD-rw-baseline-seed0-rep0,PD,continuation_dynamic,rw,5,baseline,0,200,act_openai_gpt,act_kimi,5,1.0,1,J,J,8,8,40,40
exp3-PD-rw-baseline-seed0-rep0,PD,continuation_dynamic,rw,5,baseline,0,200,act_openai_gpt,act_kimi,6,1.0,1,J,J,8,8,48,48
exp3-PD-rw-baseline-seed0-rep0,PD,continuation_dynamic,rw,5,baseline,0,200,act_openai_gpt,act_kimi,7,0.5113610600617945,1,J,J,8,8,56,56
exp3-PD-rw-baseline-seed2-rep0,PD,continuation_dynamic,rw,5,baseline,2,200,act_openai_gpt,act_kimi,1,1.0,1,J,J,8,8,8,8
exp3-PD-rw-baseline-seed2-rep0,PD,continuation_dynamic,rw,5,baseline,2,200,act_openai_gpt,act_kimi,2,0.7916210762972646,1,J,J,8,8,16,16
exp3-PD-rw-baseline-seed4-rep0,PD,continuation_dynamic,rw,5,baseline,4,200,act_openai_gpt,act_kimi,1,1.0,1,J,J,8,8,8,8
exp3-PD-rw-baseline-seed4-rep0,PD,continuation_dynamic,rw,5,baseline,4,200,act_openai_gpt,act_kimi,2,1.0,1,J,J,8,8,16,16
exp3-PD-rw-baseline-seed4-rep0,PD,continuation_dynamic,rw,5,baseline,4,200,act_openai_gpt,act_kimi,3,1.0,1,J,J,8,8,24,24
exp3-PD-rw-baseline-seed4-rep0,PD,continuation_dynamic,rw,5,baseline,4,200,act_openai_gpt,act_kimi,4,0.5020455344465675,1,J,J,8,8,32,32
exp3-PD-rw-baseline-seed4-rep0,PD,continuation_dynamic,rw,5,baseline,4,200,act_openai_gpt,act_kimi,5,0.8488447885922233,1,J,J,8,8,40,40
exp3-PD-rw-baseline-seed4-rep0,PD,continuation_dynamic,rw,5,baseline,4,200,act_openai_gpt,act_kimi,6,0.6396940285787683,1,J,J,8,8,48,48
exp3-PD-rw-baseline-seed4-rep0,PD,continuation_dynamic,rw,5,baseline,4,200,act_openai_gpt,act_kimi,7,0.0,1,J,J,8,8,56,56
exp3-PD-rw-baseline-seed6-rep0,PD,continuation_dynamic,rw,5,baseline,6,200,act_openai_gpt,act_kimi,1,1.0,1,J,J,8,8,8,8
exp3-PD-rw-baseline-seed6-rep0,PD,continuation_dynamic,rw,5,baseline,6,200,act_openai_gpt,act_kimi,2,0.8441081632562417,1,J,J,8,8,16,16
exp3-PD-rw-baseline-seed6-rep0,PD,continuation_dynamic,rw,5,baseline,6,200,act_openai_gpt,act_kimi,3,1.0,1,J,J,8,8,24,24
