match_id,game_type,horizon_type,path,L_window,reasoning_mode,seed,max_round,player1,player2,round,p_now,p_in_prompt,answer1,answer2,points1,points2,total1,total2
exp3-PD-rw-baseline-seed0-rep0,PD,continuation_dynamic,rw,5,baseline,0,200,act_deepseek,act_openai_gpt,1,0.5,1,J,J,8,8,8,8
exp3-PD-rw-baseline-seed2-rep0,PD,continuation_dynamic,rw,5,baseline,2,200,act_deepseek,act_openai_gpt,1,0.5,1,J,J,8,8,8,8
exp3-PD-rw-baseline-seed4-rep0,PD,continuation_dynamic,rw,5,baseline,4,200,act_deepseek,act_openai_gpt,1,0.5,1,J,F,0,10,0,10
exp3-PD-rw-baseline-seed4-rep0,PD,continuation_dynamic,rw,5,baseline,4,200,act_deepseek,act_openai_gpt,2,0.502528085357147,1,F,F,5,5,5,15
exp3-PD-rw-baseline-seed4-rep0,PD,continuation_dynamic,rw,5,baseline,4,200,act_deepseek,act_openai_gpt,3,0.5275256520190384,1,F,F,5,5,10,20
exp3-PD-rw-baseline-seed4-rep0,PD,continuation_dynamic,rw,5,baseline,4,200,act_deepseek,act_openai_gpt,4,0.4777302054636952,1,F,F,5,5,15,25
exp3-PD-rw-baseline-seed4-rep0,PD,continuation_dynamic,rw,5,baseline,4,200,act_deepseek,act_openai_gpt,5,0.5124101308782608,1,F,F,5,5,20,30
exp3-PD-rw-baseline-seed4-rep0,PD,continuation_dynamic,rw,5,baseline,4,200,act_deepseek,act_openai_gpt,6,0.4914950548769153,1,J,F,0,10,20,40
exp3-PD-rw-baseline-seed4-rep0,PD,continuation_dynamic,rw,5,baseline,4,200,act_deepseek,act_openai_gpt,7,0.4122661931213091,1,F,F,5,5,25,45
exp3-PD-rw-baseline-seed6-rep0,PD,continuation_dynamic,rw,5,baseline,6,200,act_deepseek,act_openai_gpt,1,0.5,1,J,F,0,10,0,10
exp3-PD-rw-baseline-seed8-rep0,PD,continuation_dynamic,rw,5,baseline,8,200,act_deepseek,act_openai_gpt,1,0.5,1,J,J,8,8,8,8
